City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
151,Cabedelo,-6.9811,-34.8339,75.87,81,24,15.66,BR,2021-10-17 01:17:33
152,Felanitx,39.4696,3.1483,60.13,82,75,3.04,ES,2021-10-17 01:21:43
153,Kieta,-6.2167,155.6333,84.33,72,45,5.93,PG,2021-10-17 01:21:43
154,Nanortalik,60.1432,-45.2371,38.25,70,96,4.21,GL,2021-10-17 01:21:44
155,Pathein,16.7833,94.7333,74.59,99,100,6.35,MM,2021-10-17 01:21:44
156,Kapaa,22.0752,-159.319,82.38,78,75,3.0,US,2021-10-17 01:21:45
157,Kysyl-Syr,63.8986,122.7617,15.8,75,24,3.53,RU,2021-10-17 01:21:45
158,Puerto Ayora,-0.7393,-90.3518,69.55,92,92,4.0,EC,2021-10-17 01:21:46
159,Avera,33.194,-82.5271,66.88,53,0,12.88,US,2021-10-17 01:21:46
160,Nioki,-2.7167,17.6833,70.48,96,37,2.57,CD,2021-10-17 01:21:46
161,Klyuchi,52.2667,79.1667,35.89,67,7,3.56,RU,2021-10-17 01:21:47
162,Wabrzezno,53.2799,18.9477,47.1,58,100,9.66,PL,2021-10-17 01:21:47
163,Matagami,49.7502,-77.6328,46.51,100,90,19.57,CA,2021-10-17 01:17:41
164,Biak,-0.9131,122.8766,83.68,69,78,2.21,ID,2021-10-17 01:21:48
165,Norwich,52.6278,1.2983,52.95,91,100,5.75,GB,2021-10-17 01:17:59
166,Ta Khmau,11.4833,104.95,78.85,83,40,3.44,KH,2021-10-17 01:21:48
167,Saint Anthony,45.0205,-93.218,55.15,66,1,0.0,US,2021-10-17 01:21:49
168,Buin,-33.7333,-70.75,63.73,49,6,3.47,CL,2021-10-17 01:21:49
169,Longyearbyen,78.2186,15.6401,26.44,54,75,12.66,SJ,2021-10-17 01:21:50
170,Tocopilla,-22.092,-70.1979,63.41,66,2,10.67,CL,2021-10-17 01:21:50
171,Chimbote,-9.0853,-78.5783,63.55,86,97,9.73,PE,2021-10-17 01:21:51
172,Tezu,27.9167,96.1667,75.69,91,83,4.14,IN,2021-10-17 01:21:51
173,Planeta Rica,8.4147,-75.5883,75.18,95,60,6.71,CO,2021-10-17 01:21:52
174,Ribeira Grande,38.5167,-28.7,73.09,87,100,41.38,PT,2021-10-17 01:21:52
175,Dingzhou,38.5131,114.9956,46.51,54,0,8.46,CN,2021-10-17 01:21:52
176,Pangnirtung,66.1451,-65.7125,29.08,57,21,6.11,CA,2021-10-17 01:21:53
177,Iquitos,-3.7481,-73.2472,75.24,94,40,2.3,PE,2021-10-17 01:21:53
178,Airai,-8.9266,125.4092,75.81,52,5,1.41,TL,2021-10-17 01:21:54
179,Cockburn Town,21.4612,-71.1419,82.13,74,100,8.37,TC,2021-10-17 01:21:54
180,Ludvika,60.1496,15.1878,33.33,69,19,2.75,SE,2021-10-17 01:21:55
181,La Ronge,55.1001,-105.2842,43.05,65,1,0.0,CA,2021-10-17 01:21:55
182,Mitsamiouli,-11.3847,43.2844,77.2,79,8,16.42,KM,2021-10-17 01:21:55
183,Acarau,-2.8856,-40.12,80.15,78,91,16.89,BR,2021-10-17 01:21:56
