,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
98,Pevek,69.7008,170.3133,12.29,94,100,7.11,RU,overcast clouds
99,Arraial Do Cabo,-22.9661,-42.0278,76.86,73,0,20.71,BR,clear sky
100,Paka,4.6374,103.4368,79.61,82,47,1.72,MY,scattered clouds
101,Saint George,37.1041,-113.5841,72.07,28,1,3.44,US,clear sky
102,Olafsvik,64.8945,-23.7142,45.18,92,99,13.33,IS,light rain
103,Iqaluit,63.7506,-68.5145,29.7,74,77,5.01,CA,broken clouds
104,Aklavik,68.2191,-135.0107,23.23,93,57,10.16,CA,broken clouds
105,Geraldton,-28.7667,114.6,57.61,88,0,5.75,AU,clear sky
106,Tuktoyaktuk,69.4541,-133.0374,28.4,93,90,8.05,CA,overcast clouds
107,Lebu,-37.6167,-73.65,55.13,64,82,7.25,CL,broken clouds
108,Wanning,18.8003,110.3967,70.63,88,99,11.32,CN,overcast clouds
109,Multai,21.7667,78.25,66.0,67,6,3.74,IN,clear sky
110,Voh,-20.9667,164.7,67.96,94,8,4.85,NC,clear sky
111,Susanino,58.1461,41.5872,38.62,97,100,6.82,RU,light rain
112,Onega,63.9061,38.1404,30.7,88,100,7.72,RU,light snow
113,Torbay,47.6666,-52.7314,62.67,92,100,11.39,CA,overcast clouds
114,Cidreira,-30.1811,-50.2056,71.37,75,75,11.16,BR,light rain
115,Beloha,-25.1667,45.05,72.79,74,13,7.47,MG,few clouds
116,Okoneshnikovo,54.8377,75.0834,50.18,68,100,16.71,RU,overcast clouds
117,Chokurdakh,70.6333,147.9167,-4.54,94,100,5.61,RU,overcast clouds
118,Albany,42.6001,-73.9662,54.81,60,63,1.01,US,broken clouds
119,Abu Samrah,35.3029,37.1841,71.06,43,0,8.23,SY,clear sky
120,Severo-Kurilsk,50.6789,156.125,37.9,80,50,9.46,RU,scattered clouds
121,Bakel,14.905,-12.4568,98.06,31,58,9.15,SN,broken clouds
